employee_id,is_promoted
36568,0.010937683
67084,0.13982916
5653,0.0088972235
47253,0.1366967
31650,0.120716736
24872,0.13949478
34117,0.11467374
20717,0.21774554
46683,0.00057439075
23750,0.17620462
57532,0.0020944942
9487,0.0020444365
56399,0.00043101248
20506,0.11236647
65871,0.0016745867
4013,0.00092303986
41119,0.0014311227
77559,0.042261735
1579,0.00045295295
50098,0.13330595
32550,0.18932559
51638,0.04239467
50488,0.13907626
65946,0.14314435
45067,0.020698529
70314,0.052375957
9660,0.0017789648
14071,0.17869015
5252,0.010681496
5127,0.23006038
41057,0.020797433
19459,0.0011096447
3709,0.0015609665
14752,0.1468283
24031,0.14448063
72093,0.00045498897
5396,0.115076385
71868,0.11986789
19956,0.16830397
74044,0.00066030934
67015,0.0014984993
61218,0.13154039
13189,0.0010917209
17957,0.20835328
10954,0.09863197
31999,0.018256977
65849,0.2790903
64822,0.016745308
53211,0.1824566
35164,0.0012716879
51870,0.03182133
49335,0.013080562
65956,0.0052432967
45488,0.06230561
45443,0.105820484
71092,0.16558161
40509,0.1309223
806,0.11414041
68031,0.0059185494
31701,0.0017769005
66762,0.11342728
50394,0.72376776
29650,0.10936827
4456,0.31859028
10525,0.2564019
16644,0.0018978629
76805,0.037413497
480,0.03327526
39457,0.038189158
52651,0.12632546
36216,0.18721098
10364,0.19055384
77569,0.001417865
61741,0.020877227
41840,0.0005538851
43842,0.028029747
39170,0.014330024
62617,0.039204724
53888,0.021801338
77246,0.009804788
38994,0.120405324
72045,0.014094869
3677,0.082243
65163,0.15812452
42302,0.044974037
76248,0.004811942
12257,0.13036053
33990,0.13907671
19980,0.043485537
37447,0.0014665045
51442,0.17085272
38125,0.09532422
3686,0.5890649
74671,0.008258309
37363,0.038612373
456,0.12931274
4381,0.01419769
3375,0.12954411
17729,0.100237295
52589,0.0021176492
60205,0.12317758
2585,0.11986016
64328,0.044312462
11304,0.036151703
18987,0.07776129
58952,0.0014407268
20891,0.027180659
64277,0.2394587
76444,0.027633468
16147,0.0014575613
71463,0.03820305
65002,0.059232038
23099,0.14126721
61031,0.001752838
34909,0.1982117
41992,0.68107253
60513,0.04340343
30250,0.27996555
40468,0.044245124
2270,0.043496456
37937,0.16819918
46067,0.13750724
50325,0.010780717
65962,0.0019965426
68682,0.14332609
30879,0.038937517
71928,0.23003185
58648,0.10470516
7763,0.16613296
55480,0.09659717
36270,0.027759898
33512,0.20428568
42836,0.15077098
9982,0.0014263298
43617,0.04209019
37631,0.0005800461
20687,0.035865974
64529,0.0055053774
8409,0.08579048
51789,0.13890062
2355,0.001834659
11312,0.040048018
24834,0.010599963
27983,0.06960079
63103,0.18970795
1788,0.03487067
66147,0.020374477
10534,0.001180494
74308,0.0005616487
45994,0.15583202
2863,0.021038465
77352,0.0017240634
8571,0.25948736
64788,0.00042914628
44606,0.0068125306
68821,0.045502204
31611,0.038988587
33569,0.24561204
54940,0.03997129
22634,0.07477563
69409,0.0069593852
63376,0.0014078631
27536,0.26828423
57368,0.0010376702
39705,0.14409144
60215,0.029731516
2263,0.049983367
55116,0.12287652
52947,0.26061678
71685,0.0016326491
13784,0.0018290282
45607,0.0012762115
20923,0.008494857
71876,0.0968484
43258,0.0004606395
48552,0.10496479
43093,0.12623897
41677,0.11380883
60488,0.13160086
65481,0.032507032
63686,0.00047589946
52882,0.012482233
3447,0.10363808
61415,0.062689684
25360,0.018559676
57755,0.13032006
31922,0.033212665
52306,0.020363469
48667,0.10200113
78166,0.00052968034
47831,0.0013356941
19639,0.20308423
62459,0.00058058096
75409,0.1458885
19242,0.0011253897
17627,0.0016775907
58699,0.006943167
73261,0.047353655
44086,0.0016690475
23414,0.117073715
61879,0.0005149718
76718,0.043653183
15522,0.07588007
52810,0.06285801
26302,0.08927488
77222,0.11786686
9691,0.124762036
70037,0.00057334825
61878,0.010852604
42163,0.0021583408
41125,0.0011517665
38354,0.21848828
58518,0.0013875074
61748,0.04560762
40818,0.04236187
62765,0.12684116
60568,0.15080383
77340,0.038738195
27685,0.007880818
76557,0.0015512982
45406,0.23989423
43736,0.0017967767
76609,0.027576094
35847,0.014708324
31074,0.04586975
65039,0.14599606
8302,0.16281119
9246,0.1653254
24166,0.010749701
7602,0.11823866
51352,0.037009932
68389,0.02798533
12397,0.0014531187
63575,0.032654602
59876,0.047173407
47901,0.09019738
59760,0.0017871836
17878,0.24353953
39565,0.11237321
22910,0.03664409
33190,0.028671771
1619,0.04605998
9578,0.1601563
48422,0.0012413332
17910,0.03640269
41035,0.0024998235
779,0.00050080486
42674,0.0013303238
1737,0.025498593
27797,0.050324272
33219,0.03019138
47424,0.15123694
50628,0.045220718
21227,0.012432693
5840,0.001673361
23261,0.001619167
67204,0.0061327624
31273,0.20335032
